STATION,DATE,DLY-TMAX-NORMAL
USW00023062,08-19,85.4
USW00023062,08-20,85.3
USW00023062,08-21,85.1
USW00023062,08-22,84.9
USW00023062,08-23,84.8
USW00023062,08-24,84.6
USW00023062,08-25,84.4
USW00023062,08-26,84.2
USW00023062,08-27,84
USW00023062,08-28,83.8
USW00023062,08-29,83.5
USW00023062,08-30,83.3
USW00023062,08-31,83
USW00023062,09-01,82.7
USW00023062,09-02,82.5
USW00023062,09-03,82.2
USW00023062,09-04,81.8
USW00023062,09-05,81.5
USW00023062,09-06,81.2
USW00023062,09-07,80.8
USW00023062,09-08,80.5
USW00023062,09-09,80.1
USW00023062,09-10,79.7
USW00023062,09-11,79.3
USW00023062,09-12,78.9
USW00023062,09-13,78.5
USW00023062,09-14,78.1
USW00023062,09-15,77.6
USW00023062,09-16,77.2
USW00023062,09-17,76.8
USW00023062,09-18,76.3
USW00023062,09-19,75.9
USW00023062,09-20,75.4
USW00023062,09-21,74.9
USW00023062,09-22,74.5
USW00023062,09-23,74
USW00023062,09-24,73.6
USW00023062,09-25,73.1
USW00023062,09-26,72.7
USW00023062,09-27,72.2
USW00023062,09-28,71.8
USW00023062,09-29,71.3
USW00023062,09-30,70.9
USW00023062,10-01,70.4
USW00023062,10-02,70
USW00023062,10-03,69.6
USW00023062,10-04,69.2
USW00023062,10-05,68.8
USW00023062,10-06,68.4
USW00023062,10-07,68
USW00023062,10-08,67.6
USW00023062,10-09,67.3
USW00023062,10-10,66.9
USW00023062,10-11,66.5
USW00023062,10-12,66.2
USW00023062,10-13,65.8
USW00023062,10-14,65.5
USW00023062,10-15,65.2
USW00023062,10-16,64.8
USW00023062,10-17,64.5
USW00023062,10-18,64.2
USW00023062,10-19,63.8
USW00023062,10-20,63.5
USW00023062,10-21,63.2
USW00023062,10-22,62.8
USW00023062,10-23,62.5
USW00023062,10-24,62.2
USW00023062,10-25,61.8
USW00023062,10-26,61.4
USW00023062,10-27,61.1
USW00023062,10-28,60.7
USW00023062,10-29,60.3
USW00023062,10-30,60
USW00023062,10-31,59.6
USW00023062,11-01,59.2
USW00023062,11-02,58.7
USW00023062,11-03,58.3
USW00023062,11-04,57.9
USW00023062,11-05,57.4
USW00023062,11-06,57
USW00023062,11-07,56.5
USW00023062,11-08,56
USW00023062,11-09,55.6
USW00023062,11-10,55.1
USW00023062,11-11,54.6
USW00023062,11-12,54.1
USW00023062,11-13,53.6
USW00023062,11-14,53.1
USW00023062,11-15,52.5
USW00023062,11-16,52
USW00023062,11-17,51.5
USW00023062,11-18,51
USW00023062,11-19,50.5
USW00023062,11-20,50
USW00023062,11-21,49.5
USW00023062,11-22,49
USW00023062,11-23,48.5
USW00023062,11-24,48.1
USW00023062,11-25,47.6
USW00023062,11-26,47.2
USW00023062,11-27,46.7
USW00023062,11-28,46.3
USW00023062,11-29,45.9
USW00023062,11-30,45.6
USW00023062,12-01,45.2
USW00023062,12-02,44.9
USW00023062,12-03,44.6
USW00023062,12-04,44.3
USW00023062,12-05,44
USW00023062,12-06,43.8
USW00023062,12-07,43.5
USW00023062,12-08,43.3
USW00023062,12-09,43.2
USW00023062,12-10,43
USW00023062,12-11,42.9
USW00023062,12-12,42.8
USW00023062,12-13,42.7
USW00023062,12-14,42.7
USW00023062,12-15,42.6
USW00023062,12-16,42.6
USW00023062,12-17,42.6
USW00023062,12-18,42.6
USW00023062,12-19,42.7
USW00023062,12-20,42.7
USW00023062,12-21,42.8
USW00023062,12-22,42.8
USW00023062,12-23,42.9
USW00023062,12-24,43
USW00023062,12-25,43.1
USW00023062,12-26,43.2
USW00023062,12-27,43.3
USW00023062,12-28,43.4
USW00023062,12-29,43.6
USW00023062,12-30,43.7
USW00023062,12-31,43.8
